MÊS,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)",PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),"TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)"
Jan,4.977593360995852,946.1199226694224,29.80645161290322,21.16478652083333,16.623045267489715,76.76181664136621,3.2098522107438003
Fev,4.9775933609958525,946.119922669422,28.428571428571423,21.164786520833328,16.623045267489715,75.74922814915963,3.2098522107438003
Mar,4.977593360995853,946.1199226694217,31.132258064516122,21.164786520833328,16.623045267489715,76.61891447058817,3.209852210743801
Abr,4.977593360995853,946.1199226694201,27.384432234432243,21.164786520833328,16.623045267489715,76.6189144705882,3.2098522107438026
Mai,1.3670191406772854,948.4714628280459,25.44193548387096,19.267667969086023,14.545904686048056,76.68138845161289,2.4141669100239933
Jun,3.051092669432918,949.6807871779613,22.49,17.074534252083332,12.657434842249659,80.9832602,2.581219714049587
Jul,3.3935483870967746,949.5477150645162,23.922580645161283,17.992607516129034,14.109677419354837,79.79838709677419,2.7485215161290317
Ago,3.7612903225806456,946.7980737096774,27.670967741935492,20.24037574193548,14.974193548387099,71.35845125806452,3.22326970967742
Set,3.926666666666667,945.0256943333335,31.24,23.331388833333335,17.946666666666665,67.36527773333334,4.096527733333334
Out,12.632258064516128,942.8750584193549,29.729032258064514,23.30416083870967,18.980645161290322,77.05072454838711,3.9853494838709675
Nov,8.253333333333334,942.7869444333334,28.713333333333335,23.496249999999993,19.60666666666667,79.62222216666667,3.7372221999999997
Dez,3.4451612903225803,943.7456988709678,30.400000000000006,24.624462290322576,20.174193548387095,80.67338709677419,2.9178763225806446
Year,4.977593360995849,946.11992266942,28.032967032967058,21.164786520833328,16.623045267489708,76.61891447058824,3.209852210743803
